video_path,video_name,fps,frame_count,processed_frames,sampled_frames,sample_frames_config,analysis_width_config,flow_every_n,mediapipe_every_n,mediapipe_checked_frames,resolution,analysis_resolution,brightness_mean,brightness_std,blur_mean,blur_std,edge_density_mean,edge_density_std,motion_mean,motion_std,occlusion_rate,hand_visibility_ratio,hand_detected_frames,person_area_ratio_mean,person_area_ratio_std,frontality_score,angle_variance,shoulder_angle_mean
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00205.mp4,W00205.mp4,29.97002997002997,157,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",86.06559968171295,24.872854864937704,406.3084791790872,68.70645440359881,0.025417390046296295,0.003909015479298071,0.3209670985286886,0.27273573441595,0.5,1.0,3,0.3426316393448431,0.035618968554526814,0.9906125128269195,0.03326441645622254,-171.6248134687764
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00206.mp4,W00206.mp4,29.97002997002997,129,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.40366319444445,24.23351868957849,405.9288619939734,52.46423570873081,0.024554398148148148,0.0034835811983707434,0.07041061652654951,0.06227607605287905,1.0,0.0,0,0.3503765745242212,0.005142108964325493,0.9855201691389084,0.011957848072052002,106.99441302013238
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00207.mp4,W00207.mp4,29.97002997002997,123,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.62657841435184,23.901663565540332,402.4452453953747,50.32042640476809,0.02654224537037037,0.004266357404387479,0.2506317365914583,0.17431148486429665,0.6666666666666667,1.0,2,0.3475212240805778,0.02516550876779358,0.9761022359132767,0.033707845211029056,-101.95012696791724
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00209.mp4,W00209.mp4,29.97002997002997,151,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.06216145833334,24.423300056429103,373.6429001686253,35.1185087627536,0.025585214120370365,0.0014874723948634858,0.19720976985991,0.18670359170574305,0.6666666666666667,1.0,2,0.3297238991706581,0.026185700881174726,0.9083055431644121,0.014693140983581543,-116.22214643802653
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00210.mp4,W00210.mp4,29.97002997002997,167,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.2916478587963,24.127232131734456,372.5721094199852,37.237857054528476,0.024822771990740743,0.0008677369086256812,0.10018257221037691,0.09367545587909494,0.6666666666666667,1.0,2,0.32150306899045944,0.030873817986207624,0.9197093024849892,0.01157653828461965,-177.15767820944072
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00212.mp4,W00212.mp4,29.97002997002997,156,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.90723307291667,25.149721683933603,399.26028686363935,46.7367032682846,0.025571469907407402,0.003960306007782425,0.2776457526805726,0.15793004398266725,0.5,1.0,3,0.38091424872106733,0.019329684149124154,0.9690134853124619,0.0532487690448761,-166.15298969815453
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00213.mp4,W00213.mp4,29.97002997002997,194,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",85.21270109953704,24.28868133304268,420.82722475273226,47.751864404487485,0.026299189814814813,0.002709940366841701,0.28143817304887553,0.2385072921586119,0.6666666666666667,1.0,2,0.37711243014340745,0.11159661747789641,0.9255161210894585,0.02551393707593282,53.995734953747935
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00214B.mp4,W00214B.mp4,29.97002997002997,78,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",89.77490306712964,27.668199094598663,850.2476874084097,12.356160709755427,0.02984013310185185,0.0011507110157722696,0.22645377977327866,0.12318687586105216,0.0,1.0,6,0.3267647187696439,0.03023828897187798,0.9738892888029417,0.011478374401728312,177.2179521062166
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00214N.mp4,W00214N.mp4,29.97002997002997,130,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",90.17368851273147,23.884479753847796,799.1434762853929,127.7998658204865,0.03112123842592593,0.0024717131455794248,0.1814133436842398,0.1673025758081072,0.6666666666666667,1.0,2,0.31889409615087416,0.01760179120477324,0.981071929136912,0.010973900556564331,59.7529327078135
e:\NAM3\BDML\Project\DBML\data\raw\VSL\Videos\W00214T.mp4,W00214T.mp4,29.97002997002997,130,24,24,24,320,2,4,6,"(1280, 720)","(320, 180)",90.19663917824073,23.92781088535322,797.6870877547526,127.51821620921301,0.03131076388888889,0.0025225590890919467,0.18188018859787422,0.16848282559651717,0.6666666666666667,1.0,2,0.32031878155956467,0.018403389380212777,0.9809426888823509,0.008617937564849854,0.6882026193548066
