video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
39955.npz,60,0.0,0.10317460317460317,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
39956.npz,60,0.08333333333333333,0.14285714285714285,0.08333333333333333,0.9166666666666666,0.9166666666666666,0.1,0.1,0.1,0.9,True,ASL
39957.npz,60,0.0,0.047619047619047616,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
39962.npz,60,0.0,0.3968253968253968,0.0,1.0,1.0,0.35,0.35,0.35,0.65,False,ASL
39984.npz,66,0.0,0.3362193362193362,0.005244755244755245,1.0,0.9947552447552448,0.2878787878787879,0.2878787878787879,0.2878787878787879,0.7121212121212122,False,ASL
39985.npz,60,0.0,0.20634920634920634,0.016666666666666666,1.0,0.9833333333333333,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.8833333333333333,True,ASL
39986.npz,93,0.0,0.28827444956477216,0.0,1.0,1.0,0.23655913978494625,0.23655913978494625,0.23655913978494625,0.7634408602150538,True,ASL
39990.npz,60,0.0,0.1746031746031746,0.0,1.0,1.0,0.0,0.0,0.0,1.0,True,ASL
39995.npz,66,0.0,0.30735930735930733,0.0,1.0,1.0,0.25757575757575757,0.25757575757575757,0.25757575757575757,0.7424242424242424,False,ASL
39996.npz,66,0.0,0.4083694083694084,0.0,1.0,1.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.6363636363636364,False,ASL
40011.npz,95,0.0,0.6441102756892231,0.0,1.0,1.0,0.25263157894736843,0.25263157894736843,0.25263157894736843,0.7473684210526316,False,ASL
40012.npz,60,0.0,0.7301587301587301,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
40013.npz,60,0.0,0.5714285714285714,0.0,1.0,1.0,0.1,0.1,0.1,0.9,False,ASL
40014.npz,84,0.0,0.5861678004535147,0.011904761904761904,1.0,0.9880952380952381,0.13095238095238096,0.13095238095238096,0.13095238095238096,0.8690476190476191,False,ASL
40021.npz,60,0.0,0.6984126984126984,0.0,1.0,1.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
66239.npz,60,0.0,0.6746031746031746,0.0,1.0,1.0,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,False,ASL
66240.npz,60,0.0,0.7142857142857143,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,ASL
40050.npz,104,0.0,0.2765567765567766,0.0,1.0,1.0,0.23076923076923078,0.23076923076923078,0.23076923076923078,0.7692307692307692,True,ASL
40051.npz,60,0.0,0.3412698412698413,0.0,1.0,1.0,0.3,0.3,0.3,0.7,False,ASL
40052.npz,73,0.0136986301369863,0.28245270711024134,0.0136986301369863,0.9863013698630136,0.9863013698630136,0.2328767123287671,0.2328767123287671,0.2328767123287671,0.7671232876712328,True,ASL
