dataset,gloss,num_samples,mean_total_motion,mean_velocity,motion_variance_mean,acceleration_mean,trajectory_length_mean,direction_change_mean,motion_complexity_score
VSL,to lớn,1.0,52.447778461501,20.958131898641582,0.8492237329483032,15.25346459971892,52.44777836557478,88.0,0.21555682
VSL,con ngỗng,1.0,51.550371803343296,24.91878391465833,0.4207385182380676,18.1837902694452,51.55037212092429,39.0,0.21524136
VSL,rong chơi,3.0,58.771209337438144,20.32737527001235,0.4616717596848805,13.820948180137089,58.77120913937688,88.0,0.21523637
VSL,bánh xe,1.0,74.87336496822536,12.970836414422603,0.1131938397884368,7.800371218009813,74.87336472421885,155.0,0.21485418
VSL,con rắn,1.0,48.81552544608712,22.85939459688961,0.8008511066436768,17.272043387095135,48.81552538648248,55.0,0.21388038
VSL,giấy tờ,1.0,52.87138114310801,21.706236374704805,0.6726884841918945,15.542207005123297,52.87138117942959,60.0,0.21353817
VSL,đề nghị,3.0,48.95908516397079,12.18336760925754,0.2107131667435169,7.186923247318979,48.9590851405325,91.66666666666669,0.21308465
VSL,lồng tiếng,1.0,77.45970363449305,10.457059786260665,0.1179296821355819,6.0165665899466605,77.45970351190772,253.0,0.21229927
VSL,nghé,3.0,46.65558067585031,24.794562384336206,0.5287018219629923,15.63123695393395,46.65558040964728,48.66666666666666,0.21220131
VSL,cây ăn quả,3.0,54.78595712486034,20.680405441906192,0.5789938271045685,14.940588861829246,54.78595697320998,81.33333333333333,0.21215516
VSL,buồng trứng,1.0,62.62210465688258,14.548716520269712,0.7333260774612427,9.672674107016064,62.62210426712409,121.0,0.21130568
VSL,bắn cung tên,1.0,75.68317396007478,10.852749647777618,0.1656457781791687,6.069698689362178,75.6831740825437,236.0,0.21038043
VSL,đèn pin,3.0,31.76661763728286,10.025218445978611,0.0959254143138726,5.314850222189734,31.76661756510536,86.0,0.21030289
VSL,giải thích,1.0,68.55002261418849,15.44694828292481,0.051803782582283,10.933481982034264,68.55002254899591,250.0,0.21019284
VSL,hiệu thuốc,1.0,70.51049767527729,15.09428260954363,0.243250161409378,6.767243158126223,70.51049799052998,99.0,0.20990081
VSL,ngày Giải phóng miền Nam 30_4,3.0,64.68903481812838,15.951437200580235,0.352187583843867,10.525586770815512,64.6890348456897,119.33333333333331,0.20989273
VSL,lung tung,3.0,42.98644358525053,13.000169603061332,0.2045711365838845,8.457371859916497,42.98644363189427,94.33333333333331,0.20940645
VSL,mồ hôi,1.0,53.48255107086152,16.028720230683685,1.0578618049621582,12.647149189384942,53.48255159473047,81.0,0.20892958
VSL,dân tộc Chăm,1.0,55.71618940401822,16.37072703928924,0.9530331492424012,11.077974554925865,55.71618915221188,123.0,0.20810933
VSL,vạch trần,1.0,44.98604298662394,21.74567219518846,1.192260503768921,14.367484710255606,44.986043273471296,74.0,0.20740454
VSL,cây khế,1.0,57.18210443481803,17.667501493520344,0.5349752902984619,13.388765327942869,57.18210482271388,102.0,0.20730726
VSL,xe đạp,1.0,55.8198266774416,20.40146533381648,0.4194329082965851,13.796680298116472,55.81982670538128,69.0,0.20675921
VSL,vui sướng,3.0,59.27998374992361,19.09786224022817,0.2844308267037074,10.165458113135625,59.2799836161236,90.0,0.2066549
VSL,đen đủi,1.0,75.16809715889394,10.193610037344074,0.1196739375591278,5.96452591500499,75.16809710348025,255.0,0.20644128
VSL,chuồng,1.0,45.1584122851491,22.93894196566889,0.7451420426368713,17.943162897537494,45.158412287943065,52.0,0.2055186
VSL,chiến thắng,1.0,43.89285616576672,23.91761557839133,0.7850701212882996,17.92125810517205,43.89285582862794,54.0,0.20544446
VSL,triều đình,1.0,60.83435088396072,16.278620076498814,0.4819737374782562,10.545481340305225,60.83435059944168,116.0,0.20516433
VSL,cây cối,1.0,47.16888522263616,21.09927548423632,0.6393590569496155,18.30432743556572,47.16888534836471,59.0,0.2046705
VSL,vận động,1.0,41.57474172115326,28.31806766986847,0.8280912041664124,15.412715934043709,41.574741296470165,36.0,0.2034616
VSL,con nai,1.0,45.238063633441925,24.2104414999485,0.8081693649291992,15.108943020213736,45.23806389328092,44.0,0.20323937
VSL,tha thứ,3.0,40.77035991940648,10.474990437418038,0.1163418044646581,6.411135528368786,40.770360036248654,123.0,0.20301586
VSL,Đông Timor (nước Đông Timor),1.0,45.62964796274901,23.991588226535864,0.8100059628486633,14.633774289063044,45.62964787567034,57.0,0.20270264
VSL,dàn nhạc,1.0,56.77791385352612,21.539671519134615,0.3584158420562744,10.826431658023443,56.77791428565979,88.0,0.20242916
VSL,cây ngô,3.0,53.032360279156514,19.63180351865133,0.589799091219902,12.215333838712,53.03236024795721,67.66666666666667,0.20152895
VSL,hình,1.0,42.800263207405806,24.66776671776405,0.5851835608482361,18.950594537398395,42.80026306817308,42.0,0.20096606
VSL,cây sả,1.0,54.33378293737769,17.140878410715807,0.6300102472305298,12.442361007979576,54.33378377568442,100.0,0.20026708
VSL,quả bưởi,3.0,43.6846090980495,22.205890545839225,0.7994688786566257,15.997726581753524,43.68460935059314,61.333333333333336,0.19987608
VSL,lạc quan,1.0,51.285133458673954,23.646390836055463,0.2431355416774749,14.784529492259026,51.28513313084841,72.0,0.1993993
VSL,nhảy cao,1.0,46.47407823055983,21.42812446814317,0.6428054571151733,16.40264441817999,46.47407850250602,64.0,0.19935231
VSL,điều hòa,2.0,59.03411026741378,15.939209444834304,0.3799738958477974,9.89211437729272,59.03411054587923,120.5,0.19929643
VSL,tàu hoả,3.0,52.58868662267923,13.156133891561964,0.1977239102125167,8.066211164637734,52.5886865441765,115.0,0.19908941
VSL,bệnh thủy đậu,1.0,60.22156950458884,17.188956086976187,0.2455660998821258,10.621471039377726,60.221569158136845,109.0,0.19884183
VSL,cây thông,1.0,49.471435248851776,20.03593078658388,0.7112510204315186,13.429018045124945,49.471435357350856,73.0,0.19884026
VSL,phản bội,3.0,39.41133253959318,21.5392916957136,0.4724614421526591,11.916481189901932,39.41133256753286,45.333333333333336,0.19845529
VSL,hi vọng,3.0,48.98340034026963,20.35992214439793,0.571565255522728,14.910738537570268,48.98340040297868,53.66666666666666,0.19808029
VSL,loạn thị,1.0,43.26868176460266,24.467214165993457,0.4934842884540558,18.3343887925148,43.26868200208992,49.0,0.1976523
VSL,vợt cầu lông,1.0,53.4615473872982,19.07431594814573,0.4662985205650329,12.535013229013924,53.461547354003415,88.0,0.19730394
VSL,sừng,1.0,55.98139877989888,17.296520522574788,0.5023592710494995,10.6204184020559,55.98139920621179,106.0,0.1965168
VSL,quốc ca,1.0,59.6083857268095,16.240575199777428,0.2794138491153717,10.496155366985075,59.6083859349601,124.0,0.19637625
VSL,ban ngày,1.0,54.918753501959145,15.67538117883461,0.7617995738983154,9.443595945653392,54.91875349637121,68.0,0.19577682
VSL,vòng nguyệt quế,1.0,54.77446066681296,18.444837643189377,0.6148871779441833,9.080814248458903,54.77446065470576,89.0,0.19543861
VSL,thao thức,1.0,74.23643042705953,7.671950946388573,0.0649635717272758,4.775398244082309,74.23643059039023,321.0,0.19540524
VSL,con đường,1.0,44.168938647955656,21.700705750066724,0.6624643206596375,16.338624210158983,44.16893868613988,53.0,0.19491597
VSL,xóa bảng,1.0,64.64421796239913,14.35101608523616,0.1265004277229309,8.113965665487418,64.6442181430757,115.0,0.19475646
VSL,con hươu,1.0,46.53262375295162,22.49326943197558,0.6141001582145691,13.838398597279532,46.53262362629175,51.0,0.19466484
VSL,buổi trưa,3.0,50.493958566337824,21.192450001301196,0.3865108986695607,12.665309373499902,50.493958558732025,63.333333333333336,0.19392103
VSL,giả bộ (giống giả vờ),1.0,55.79763946402818,15.065362231151475,0.5116028785705566,11.267644750962564,55.79763946402818,57.0,0.1938107
VSL,vỡ lòng,1.0,48.690745428204536,23.922321241410053,0.4098760485649109,12.694469098250073,48.69074520561844,56.0,0.19379453
VSL,quan (chức vụ),1.0,47.02271921560168,22.73017521827452,0.4250621795654297,15.071422952120422,47.02271918393672,57.0,0.19370429
VSL,Bru-nây (nước Bru-nây),3.0,56.53102990216576,15.784439348269634,0.3002508580684662,8.862625546540354,56.5310297398828,92.66666666666669,0.19307053
VSL,đèn ông sao,1.0,70.66423714905977,8.787581507719404,0.1124669909477233,5.717222390820583,70.66423694160767,287.0,0.19268076
VSL,dây buộc tóc,1.0,61.06615965440869,15.001252250348935,0.2163696140050888,9.157371385530992,61.06615959620103,134.0,0.19261615
VSL,tập thể dục,2.0,55.2627854719758,18.60927693763476,0.2876822352409363,11.211243454366922,55.26278551772703,82.5,0.19248813
VSL,giáo dục,1.0,45.5276792794466,22.74107528924942,0.5177998542785645,14.525342763480491,45.52767974347808,61.0,0.19163482
VSL,tập trung,1.0,54.31263479217887,18.497154856608677,0.4842340350151062,9.3830897054453,54.31263462384232,102.0,0.19144493
VSL,tạo dáng,1.0,54.98671582899988,17.719912154700168,0.4031783938407898,9.880666283161744,54.98671590909362,69.0,0.19044413
VSL,trăng,3.0,33.82527410502856,11.559341082241462,0.2090661351879437,7.768126951674603,33.82527410502856,32.0,0.190269
VSL,cảng Sài Gòn,1.0,53.12669643200934,17.306598384419214,0.5375120043754578,10.313531124984824,53.12669675797224,81.0,0.19021028
VSL,con chó,3.0,47.161164312313,20.305636935624445,0.4880000179012616,14.173397779202952,47.161164367804304,64.33333333333333,0.18939185
VSL,trốn tìm,1.0,49.389029417186975,18.05108744342153,0.4426615536212921,14.174689069206332,49.38902968354523,74.0,0.1891367
VSL,sáng tạo,1.0,49.59023942053318,19.301551126040422,0.627623975276947,10.643416950577183,49.59023929666728,85.0,0.18895744
VSL,chăn (cái chăn),3.0,47.785950042928256,19.40960666514173,0.5306218365828196,13.15364569655452,47.78595013753511,69.0,0.18803804
VSL,con bê,3.0,49.27996984993418,19.93799961103593,0.3892780343691508,11.340393152710078,49.27996965777129,73.33333333333333,0.1880338
VSL,giông bão,1.0,50.14158777333796,18.552386924072547,0.2451440840959549,14.913601951301098,50.14158801920712,83.0,0.18787818
VSL,trang trí,1.0,52.530879008583724,17.30055385042023,0.3567884564399719,11.963763666152952,52.53087902162224,99.0,0.18749577
VSL,quàng khăn,1.0,59.29007783066481,14.215388706564903,0.2869514524936676,8.468278257116195,59.290078081190586,112.0,0.18749064
VSL,bò tót,1.0,45.1728750015609,23.75142163293142,0.4894559979438782,12.54672445143972,45.172874964308,46.0,0.18725617
VSL,trống,1.0,52.631544195115566,19.47367094181202,0.2085136622190475,11.726106569170952,52.6315442584455,70.0,0.18689585
VSL,sóng biển,1.0,50.39760373160243,18.64711289567712,0.4122782051563263,11.99041486531496,50.39760350296274,68.0,0.18663262
VSL,người máy,1.0,46.4153318189783,21.40103785068943,0.6631292700767517,10.553584115230478,46.41533177613746,41.0,0.1862062
VSL,con hoẵng,1.0,45.8644896261394,22.909312015771867,0.5254925489425659,11.603610693398169,45.86448956746608,42.0,0.18617575
VSL,chỉ huy,1.0,46.54033912718296,21.793967702426016,0.4309858679771423,12.509703696720184,46.54033911158331,66.0,0.18512946
VSL,đàn tơ-rưng,1.0,53.75166936591268,19.177827251808985,0.1665675938129425,10.083904307063031,53.75166914612055,55.0,0.18396042
VSL,con chồn,1.0,45.08932539820671,21.114485025405884,0.3466937243938446,14.93100919420757,45.0893253935501,68.0,0.18374251
VSL,thái độ,3.0,37.566995703304805,9.457251683711164,0.0998568944633007,5.631227715742447,37.5669956257722,117.0,0.18349683
VSL,nổi nóng,1.0,55.98408086411655,15.39305385072297,0.2768310904502868,8.773757328037862,55.98408092977479,112.0,0.18238254
VSL,vun đắp,1.0,45.05292928777635,17.310721166240864,0.639272928237915,13.742748227986423,45.0529297767207,64.0,0.18234342
VSL,ngày giải phóng thủ đô 10_10,3.0,57.91751352775221,11.70692354217058,0.2012229363123575,7.011093231990287,57.91751345683588,162.33333333333334,0.18183953
VSL,sổ đầu bài,1.0,63.511627855710685,10.40133028049938,0.1713361740112304,6.1542312774684405,63.51162769109942,213.0,0.18171716
VSL,sợi dây,1.0,49.98838263936341,17.024452245032247,0.4668133556842804,10.8222608775243,49.98838275927119,91.0,0.181593
VSL,hồ nước,1.0,48.656128098256886,17.155577862876303,0.5662476420402527,10.391543333019529,48.65612790174782,64.0,0.1805761
VSL,phát động,1.0,47.20292793773115,17.683396350592375,0.4057930111885071,13.326745113994502,47.20292768627405,79.0,0.18039317
VSL,hệ thống,3.0,44.85540705205252,18.075477932230143,0.711079403758049,10.59429771218121,44.8554070799922,71.33333333333333,0.17854087
VSL,tuổi thơ,1.0,52.86485302168876,15.68672874245313,0.3208957314491272,9.462995212376118,52.86485277395696,88.0,0.17853622
VSL,chim đại bàng,1.0,50.82699657231569,17.509023591704754,0.2229728251695633,10.980634154275409,50.8269964363426,86.0,0.17784153
VSL,vật nuôi,3.0,21.6873189691687,7.204557850522253,0.0677758790552616,3.6954999181761417,21.687318979820702,80.66666666666667,0.17778786
VSL,chung kết,1.0,44.63976972550154,22.675489373126272,0.2796447575092315,12.29026876646897,44.63976967893541,53.0,0.17750768
VSL,dân tộc Khơ me,1.0,54.03424733132124,15.13463880776245,0.2840339839458465,8.625414296703518,54.03424737323076,120.0,0.17725801
VSL,chen lấn,1.0,42.67370652779937,20.300491463570367,0.4916216731071472,13.19324266333734,42.67370666190982,48.0,0.1767724
VSL,tham ăn,3.0,61.45187569704528,10.962575444064678,0.1313027118643125,5.87973383390261,61.45187561838733,167.66666666666666,0.17618644
VSL,Quảng Ninh,1.0,63.22368890559301,9.066095241661849,0.1052369847893714,5.796741903687899,63.22368885471951,194.0,0.1759228
