dataset,gloss,num_samples,mean_distance,median_distance,std_distance,within_class_variance,max_distance
VSL,mâm ngũ quả,3,4.726843167731903,4.051794606789095,1.6457512412755073,2.708497148159873,6.993351067241217
VSL,thân cây,3,4.71979702415972,3.705849042829359,1.6175361970210103,2.6164233486731927,7.002599593651375
VSL,thành lập,4,4.719669905798011,4.003973842934219,1.4210486655107943,2.0193793097500095,7.1714291323096315
VSL,bụi phấn,3,4.708459476452859,3.8334683986660747,1.6064235514972975,2.5805966268051903,6.9616333735784925
VSL,quyền lợi,3,4.680822607923833,3.7383018512216855,1.5621971709346638,2.4404600008762674,6.882525406207916
VSL,đồng phục,3,4.679962976578136,3.5704921963493748,1.6344785929500505,2.671520270811977,6.990855064450979
VSL,nhập ngũ,3,4.671000947045806,4.336842383265995,0.6227418270073517,0.3878073831044544,5.5437463081446685
VSL,kém,3,4.667014948153246,3.709641888302507,1.5171756542412362,2.3018219658223233,6.808623775402669
VSL,nhiệt kế,3,4.6534352486853265,3.683752392072171,1.6071993692753934,2.5830898125992223,6.9185634761037065
VSL,thuê,3,4.650524118026003,3.5478516178074346,1.6345502927429962,2.6717546595062145,6.961325345679774
VSL,ngày nay,3,4.6241623343640965,4.776000639711176,1.4071831289775991,1.9801643584791861,6.266659715738915
VSL,suýt,3,4.611054018547314,3.854572966534832,1.0990220390338772,1.2078494422821813,6.165124667012934
VSL,con ngựa,3,4.600165603380802,3.5083494548419867,1.5718912112266927,2.4708419799317194,6.823040013996882
VSL,Phi-líp-pin (nước Phi-líp-pin),3,4.5946694678974795,3.679686173207477,1.5469118561972695,2.3929362908436813,6.77306454486722
VSL,thầy cô,3,4.587173660625935,3.4822276834280945,1.6193815539905727,2.6223966174049225,6.876861580289263
VSL,tuần,3,4.586393605467329,4.918904648508755,0.5635754717597686,0.3176173123692458,5.04743647645651
VSL,chống đối,3,4.586389252291679,4.372316072613371,1.2089985584820104,1.4616775144115792,6.162488732862261
VSL,sĩ diện,2,4.584013879693252,4.584013879693252,0.0,0.0,4.584013879693252
VSL,tiếng Anh,3,4.5804846885613975,3.4939023504214526,1.5902043464104731,2.5287498633427603,6.828952948682586
VSL,hối hận,3,4.579783409720197,3.4846010773753315,1.5694801518075623,2.4632679469178886,6.7992997131420765
VSL,bông hoa,3,4.5729592520840034,3.480305851316612,1.6105599381481739,2.5939033143678496,6.8500188552852785
