dataset,gloss,video,path,hand,valid_frame_ratio,dominant_location,head_ratio,shoulder_ratio,chest_ratio,waist_ratio,below_waist_ratio
VSL,giúp đỡ,W01497B.npz,dataset\VSL\giúp đỡ\W01497B.npz,right,1.0,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giúp đỡ,W01497N.npz,dataset\VSL\giúp đỡ\W01497N.npz,left,0.7307692307692307,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giúp đỡ,W01497N.npz,dataset\VSL\giúp đỡ\W01497N.npz,right,0.7307692307692307,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giúp đỡ,W01497T.npz,dataset\VSL\giúp đỡ\W01497T.npz,left,0.725,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giúp đỡ,W01497T.npz,dataset\VSL\giúp đỡ\W01497T.npz,right,0.725,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giơ tay,W01491.npz,dataset\VSL\giơ tay\W01491.npz,left,0.7142857142857143,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giơ tay,W01491.npz,dataset\VSL\giơ tay\W01491.npz,right,0.7142857142857143,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giường,W01498.npz,dataset\VSL\giường\W01498.npz,left,0.7058823529411765,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giường,W01498.npz,dataset\VSL\giường\W01498.npz,right,0.7058823529411765,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giải lao,W01437.npz,dataset\VSL\giải lao\W01437.npz,left,0.7415730337078652,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giải lao,W01437.npz,dataset\VSL\giải lao\W01437.npz,right,0.7415730337078652,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giải quyết,W01438.npz,dataset\VSL\giải quyết\W01438.npz,left,0.6419753086419753,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giải quyết,W01438.npz,dataset\VSL\giải quyết\W01438.npz,right,0.6419753086419753,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giải thích,W01424.npz,dataset\VSL\giải thích\W01424.npz,left,0.9426229508196722,shoulder,0.0782608695652174,0.9217391304347826,0.0,0.0,0.0
VSL,giải thích,W01424.npz,dataset\VSL\giải thích\W01424.npz,right,0.9426229508196722,shoulder,0.09855072463768116,0.9014492753623189,0.0,0.0,0.0
VSL,giải vô địch,W01440.npz,dataset\VSL\giải vô địch\W01440.npz,left,0.7326732673267327,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giải vô địch,W01440.npz,dataset\VSL\giải vô địch\W01440.npz,right,0.7326732673267327,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy,W01470B.npz,dataset\VSL\giấy\W01470B.npz,left,1.0,shoulder,0.0,0.9885057471264368,0.011494252873563218,0.0,0.0
VSL,giấy,W01470B.npz,dataset\VSL\giấy\W01470B.npz,right,1.0,shoulder,0.0,0.9885057471264368,0.011494252873563218,0.0,0.0
VSL,giấy,W01470N.npz,dataset\VSL\giấy\W01470N.npz,left,0.6623376623376623,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy,W01470N.npz,dataset\VSL\giấy\W01470N.npz,right,0.6623376623376623,shoulder,0.0,1.0,0.0,0.0,0.0
VSL,giấy,W01470T.npz,dataset\VSL\giấy\W01470T.npz,left,0.6233766233766234,shoulder,0.0,1.0,0.0,0.0,0.0
