dataset,label,num_samples,num_pairs,intra_class_dtw_mean,intra_class_dtw_std,intra_class_dtw_min,intra_class_dtw_max,intra_class_dtw_median
ASL,invest,7,21,1.2093380462555658,0.5286181158536298,0.26102161407470703,2.189976692199707,1.1717227697372437
ASL,k,4,6,1.208800012866656,0.7083609302100194,0.39528149366378784,2.085231304168701,1.2225379049777985
ASL,west,8,28,1.2068366897957665,0.63342063526977,0.37834733724594116,2.191915988922119,1.0138238966464996
ASL,ignore,5,10,1.205407851934433,0.695312901548639,0.3681340217590332,2.507199764251709,1.1095269322395325
ASL,h,4,6,1.20104019343853,0.6018046588410347,0.385842889547348,2.101893186569214,1.1802751123905182
ASL,any,5,10,1.200603848695755,0.597030763301683,0.4153045117855072,2.049434185028076,1.0612931549549103
ASL,precious,5,10,1.2005846500396729,0.5358192005224574,0.46206486225128174,2.3587236404418945,1.1502596735954285
ASL,telephone,6,15,1.1932567268610001,0.7953633985988608,0.2256290167570114,2.504624128341675,0.7367607355117798
ASL,dime,5,10,1.1929491609334946,0.8229433544994313,0.481845498085022,2.3995869159698486,0.5538245439529419
ASL,blind,8,28,1.1858525121850627,0.8504440396568986,0.1529827117919922,2.412792444229126,0.7298823595046997
ASL,inform,9,36,1.175963073141045,0.369193667441822,0.3977052867412567,1.8473598957061768,1.1104994416236877
ASL,boast,4,6,1.1683768033981323,0.4115982740711426,0.7306156754493713,1.7017722129821777,1.0739817023277283
ASL,come here,8,28,1.1674672508878368,0.7621727425141217,0.1851651519536972,2.645944356918335,0.9049235582351685
ASL,march,7,21,1.1671067561422075,0.475523785417754,0.3050697147846222,2.0876080989837646,1.2521251440048218
ASL,tower,3,3,1.1667306224505107,0.1506404369186646,0.9747881293296814,1.3427479267120361,1.1826558113098145
ASL,candidate,5,10,1.163990420103073,0.5816956361641042,0.4509657025337219,2.237682580947876,0.8935491144657135
ASL,december,5,10,1.16396005153656,0.5956689928834177,0.20847338438034058,2.0064239501953125,0.9871322810649872
ASL,suffer,5,10,1.1619266718626022,0.6992924607431907,0.37720707058906555,2.335632562637329,0.8695979118347168
ASL,fly,8,28,1.160165895308767,0.3911380690195378,0.31586942076683044,1.8232849836349487,1.0791947841644287
ASL,sky,8,28,1.158645482999938,0.33141204417261405,0.4797080159187317,1.8399909734725952,1.1937788724899292
ASL,dive,9,36,1.1549662914541032,0.3794557925797395,0.6363944411277771,2.016890048980713,1.083282232284546
ASL,leave,11,55,1.1543653704903343,0.3357614465027197,0.5004264116287231,1.8290997743606567,1.1762490272521973
ASL,computer,14,91,1.153687745987714,0.3921483216094363,0.30003371834754944,1.9070632457733154,1.1752630472183228
ASL,hope,9,36,1.1476276276840105,0.4820589308092954,0.4549103081226349,2.4104652404785156,1.0260913968086243
ASL,jewish,5,10,1.14727825820446,0.7031566953423711,0.2926735281944275,2.3556973934173584,0.8256105184555054
ASL,concentrate,3,3,1.1468432346979778,0.3648304054956576,0.6394007205963135,1.48136305809021,1.3197659254074097
ASL,stand,5,10,1.1467403531074525,0.4739888339218504,0.5917068719863892,1.9803128242492676,1.0607182681560516
ASL,quarter,5,10,1.144442380964756,0.8936011500923914,0.24848006665706635,2.3604371547698975,0.5587683916091919
ASL,travel,9,36,1.143878222339683,0.7563094438374006,0.34244102239608765,2.8718056678771973,0.8647299408912659
ASL,europe,7,21,1.1434195751235599,0.3304722378800791,0.6319333910942078,1.7584477663040161,1.077125906944275
ASL,thin,16,120,1.1431506701124212,0.45320846204261933,0.03005540743470192,2.034801721572876,1.2000241875648499
ASL,not yet,4,6,1.1413043240706127,0.6791613063728644,0.32247817516326904,1.9582329988479614,1.131891518831253
ASL,high,6,15,1.141285299261411,0.9639670162520368,0.2420567125082016,2.6626498699188232,0.5229463577270508
ASL,braid,4,6,1.1396043697992961,0.2571667202365769,0.5860706567764282,1.3600471019744873,1.2272210121154785
ASL,referee,5,10,1.1384410738945008,0.8201922572835988,0.16307660937309265,2.3367819786071777,0.7367512285709381
ASL,dumb,4,6,1.1358718673388164,0.34942860786839075,0.7091233730316162,1.7682069540023804,1.1611167788505554
ASL,full,10,45,1.1330068757136662,0.42544008105519227,0.1535966843366623,1.936996579170227,1.10909104347229
ASL,infection,6,15,1.1313799222310383,0.6598624953488045,0.2808871567249298,2.4195027351379395,0.7881805300712585
ASL,pepper,7,21,1.130222472406569,0.2999898633011142,0.45521655678749084,1.6362435817718506,1.126922845840454
ASL,dirty,9,36,1.1291549968429737,0.9511520396064158,0.0455021895468235,2.545823097229004,0.48149803280830383
ASL,think,7,21,1.1251104928198314,0.7481072299767111,0.2990949749946594,2.774301290512085,0.7326812148094177
ASL,tongue,5,10,1.1243517994880676,0.7333971323428133,0.2973194718360901,2.352879285812378,0.7258629500865936
ASL,eyes,5,10,1.1237011104822159,0.8263855666573952,0.26318836212158203,2.381202220916748,0.6571186184883118
