rank,class_name,sample_count,cumulative_fraction
927,cũng vậy/cũng thế,1,0.45254470426409904
928,cơ bắp,1,0.45277395690050437
929,cơ quan,1,0.4530032095369097
930,cơ sở,1,0.453232462173315
931,cơ thể,1,0.4534617148097203
932,cơm,1,0.45369096744612564
933,cơm hộp,1,0.45392022008253097
934,cơm rang,1,0.45414947271893624
935,cưa,1,0.4543787253553416
936,cưa (cái cưa),1,0.4546079779917469
937,cướp biển,1,0.45483723062815223
938,cướp cờ,1,0.45506648326455756
939,cướp giật,1,0.45529573590096284
940,cười nhếch mép,1,0.45552498853736817
941,cười vỡ bụng,1,0.4557542411737735
942,cưỡi ngựa,1,0.45598349381017883
943,cạnh,1,0.45621274644658416
944,cạnh bên (toán),1,0.45644199908298944
945,cạnh tranh,1,0.45667125171939477
946,cạnh đáy,1,0.4569005043558001
947,cạnh đối diện,1,0.4571297569922054
948,cả ngày,1,0.4573590096286107
949,cảng Hải Phòng,1,0.45758826226501603
950,cảng Sài Gòn,1,0.45781751490142136
951,cảnh giác,1,0.4580467675378267
952,cảnh vật,1,0.458276020174232
953,cấp cứu,1,0.4585052728106373
954,cấp dưỡng,1,0.45873452544704263
955,cất giấu,1,0.45896377808344796
956,cất giữ,1,0.4591930307198533
957,cất tiếng khóc,1,0.4594222833562586
958,cất tiếng nói,1,0.4596515359926639
959,cấy,1,0.4598807886290692
960,cấy lúa,1,0.46011004126547456
961,cần khởi động,1,0.4603392939018799
962,cầu (cây cầu),1,0.4605685465382852
963,cầu Long Biên,1,0.4607977991746905
964,cầu Thê Húc (Hồ Gươm),1,0.4610270518110958
965,cầu cứu,1,0.46125630444750115
966,cầu giao,1,0.4614855570839065
967,cầu kì,1,0.46171480972031176
968,cầu nguyện,1,0.4619440623567171
969,cầu thang,1,0.4621733149931224
970,cầu thủ,1,0.46240256762952775
971,cầu tre,1,0.4626318202659331
972,cầu trượt,1,0.46286107290233836
973,cầu vượt,1,0.4630903255387437
974,cắm trại,1,0.463319578175149
975,cắt lông mũi,1,0.46354883081155435
976,cắt nhau,1,0.4637780834479597
977,cặp sách,1,0.46400733608436495
978,cặp tóc,1,0.4642365887207703
979,cỏ may,1,0.4644658413571756
980,cố ý (như cố tình),1,0.46469509399358094
981,cố định,1,0.4649243466299862
982,cốc,1,0.46515359926639155
983,cối giã,1,0.4653828519027969
984,cối xay gió,1,0.4656121045392022
985,cối xay lúa,1,0.46584135717560754
986,cốm,1,0.4660706098120128
987,cống,1,0.46629986244841815
988,cốp xe,1,0.4665291150848235
989,cổ,1,0.4667583677212288
990,cổ chân,1,0.46698762035763414
991,cổ họng,1,0.4672168729940394
992,cổ kính,1,0.46744612563044474
993,cổ tay,1,0.4676753782668501
994,cổ truyền,1,0.4679046309032554
995,cổ tích,1,0.46813388353966073
996,cổ vũ,1,0.468363136176066
997,cổ áo,1,0.46859238881247134
998,cổ đại,1,0.46882164144887667
999,cổng,1,0.469050894085282
1000,cỗ,1,0.4692801467216873
1001,cột,1,0.4695093993580926
1002,cột nhà,1,0.46973865199449794
1003,cột sống,1,0.46996790463090327
1004,cột đèn,1,0.4701971572673086
1005,cờ,1,0.47042640990371387
1006,cờ ca rô,1,0.4706556625401192
1007,cờ tướng,1,0.47088491517652453
1008,cờ vua,1,0.47111416781292986
1009,cởi mở,1,0.4713434204493352
1010,cởi áo,1,0.47157267308574047
1011,cụ,1,0.4718019257221458
1012,cụ già,1,0.47203117835855113
1013,cụ thể,1,0.47226043099495646
1014,cụ đồ,1,0.47248968363136173
1015,cục tẩy,1,0.47271893626776706
1016,cụm từ,1,0.4729481889041724
1017,củ cà rốt,1,0.4731774415405777
1018,củ cải trắng,1,0.47340669417698306
1019,củ gừng,1,0.47363594681338833
1020,củ hành tây,1,0.47386519944979366
1021,củ khoai lang,1,0.474094452086199
1022,củ khoai tây,1,0.4743237047226043
1023,củ nghệ,1,0.47455295735900965
1024,củ su hào,1,0.4747822099954149
1025,củ sả,1,0.47501146263182026
1026,củ tỏi,1,0.4752407152682256
1027,củ từ,1,0.4754699679046309
1028,củ đậu,1,0.47569922054103625
1029,củi,1,0.4759284731774415
1030,cứu,1,0.47615772581384685
1031,cứu hộ,1,0.4763869784502522
1032,cứu sống,1,0.4766162310866575
1033,cử chỉ điệu bộ,1,0.4768454837230628
1034,cử động,1,0.4770747363594681
1035,cửa khẩu,1,0.47730398899587345
1036,cửa kính,1,0.4775332416322788
1037,cửa sổ,1,0.4777624942686841
1038,cực khổ,1,0.4779917469050894
1039,d,1,0.4782209995414947
1040,dai,1,0.47845025217790005
1041,danh bạ,1,0.4786795048143054
1042,danh dự,1,0.4789087574507107
1043,danh hiệu,1,0.479138010087116
1044,danh lam thắng cảnh,1,0.4793672627235213
1045,danh mục,1,0.47959651535992665
1046,danh nhân,1,0.479825767996332
1047,danh sách,1,0.48005502063273725
1048,danh từ,1,0.4802842732691426
1049,danh từ riêng,1,0.4805135259055479
1050,dao,1,0.48074277854195324
1051,di chuyển,1,0.48097203117835857
1052,diêm,1,0.48120128381476385
1053,diều,1,0.4814305364511692
1054,diễn thuyết,1,0.4816597890875745
1055,diện tích,1,0.48188904172397984
1056,diện tích toàn phần,1,0.48211829436038517
1057,diện tích xung quanh,1,0.48234754699679044
1058,diệt chủng,1,0.4825767996331958
1059,doanh nghiệp,1,0.4828060522696011
1060,doanh trại,1,0.48303530490600644
1061,du học,1,0.4832645575424117
1062,du thuyền,1,0.48349381017881704
1063,dung tích,1,0.48372306281522237
1064,duy nhất,1,0.4839523154516277
1065,duyên dáng,1,0.48418156808803303
1066,duyệt binh,1,0.4844108207244383
1067,dài,1,0.48464007336084364
1068,dài hơn,1,0.48486932599724897
1069,dài hạn,1,0.4850985786336543
1070,dài nhất,1,0.48532783127005963
1071,dàn bài,1,0.4855570839064649
1072,dàn nhạc,1,0.48578633654287023
1073,dán,1,0.48601558917927556
1074,dân ca,1,0.4862448418156809
1075,dân chài,1,0.4864740944520862
1076,dân chủ,1,0.4867033470884915
1077,dân số,1,0.48693259972489683
1078,dân tộc Chăm,1,0.48716185236130216
1079,dân tộc Khơ me,1,0.4873911049977075
1080,dân tộc Mông,1,0.48762035763411277
1081,dân tộc Mường,1,0.4878496102705181
1082,dân tộc Thái,1,0.4880788629069234
1083,dây buộc tóc,1,0.48830811554332876
1084,dây chun,1,0.4885373681797341
1085,dây thần kinh,1,0.48876662081613936
1086,dây thừng,1,0.4889958734525447
1087,dây xích,1,0.48922512608895
1088,dãy nhà,1,0.48945437872535535
1089,dãy núi,1,0.4896836313617607
1090,dãy núi Hoàng Liên Sơn,1,0.48991288399816596
