video,frames,pose_missing,hand_missing,face_missing,pose_detection,face_detection,left_hand_missing_rate,right_hand_missing_rate,both_hand_missing_rate,hand_detection_rate,usable,dataset
43909.npz,60,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9166666666666666,True,ASL
43910.npz,60,0.03333333333333333,0.125,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
43929.npz,60,0.0,0.3416666666666667,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
43930.npz,60,0.0,0.2,0.08333333333333333,1.0,0.9166666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.8666666666666667,True,ASL
43931.npz,60,0.0,0.39166666666666666,0.016666666666666666,1.0,0.9833333333333333,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.6166666666666667,False,ASL
43932.npz,60,0.0,0.45,0.016666666666666666,1.0,0.9833333333333333,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.5833333333333333,False,ASL
43933.npz,60,0.016666666666666666,0.13333333333333333,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,True,ASL
43935.npz,60,0.016666666666666666,0.03333333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
43938.npz,60,0.0,0.6166666666666667,0.0,1.0,1.0,0.6,0.6,0.6,0.4,False,ASL
66318.npz,60,0.0,0.5,0.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,False,ASL
43945.npz,60,0.0,0.725,0.0,1.0,1.0,0.7166666666666667,0.7166666666666667,0.7166666666666667,0.2833333333333333,False,ASL
43946.npz,60,0.016666666666666666,0.18333333333333332,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.11666666666666667,0.11666666666666667,0.11666666666666667,0.8833333333333333,True,ASL
43948.npz,60,0.016666666666666666,0.041666666666666664,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,True,ASL
43949.npz,60,0.03333333333333333,0.05,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.05,0.05,0.05,0.95,True,ASL
43950.npz,60,0.0,0.65,0.0,1.0,1.0,0.65,0.65,0.65,0.35,False,ASL
43986.npz,60,0.0,0.5083333333333333,0.0,1.0,1.0,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.5166666666666666,False,ASL
43987.npz,60,0.0,0.325,0.016666666666666666,1.0,0.9833333333333333,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,False,ASL
43988.npz,60,0.016666666666666666,0.25833333333333336,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.2,0.2,0.2,0.8,True,ASL
43989.npz,60,0.016666666666666666,0.2,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.8333333333333334,True,ASL
43994.npz,60,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
43996.npz,60,0.0,0.5166666666666667,0.0,1.0,1.0,0.5,0.5,0.5,0.5,False,ASL
43999.npz,60,0.0,0.65,0.0,1.0,1.0,0.3,0.3,0.3,0.7,False,ASL
44000.npz,60,0.0,0.6333333333333333,0.0,1.0,1.0,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
44001.npz,60,0.0,0.6166666666666667,0.0,1.0,1.0,0.25,0.25,0.25,0.75,False,ASL
44007.npz,60,0.016666666666666666,0.5083333333333333,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
44011.npz,60,0.0,0.375,0.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
44019.npz,60,0.0,0.6916666666666667,0.0,1.0,1.0,0.4,0.4,0.4,0.6,False,ASL
44020.npz,60,0.0,0.43333333333333335,0.016666666666666666,1.0,0.9833333333333333,0.35,0.35,0.35,0.65,False,ASL
44023.npz,60,0.0,0.0,0.016666666666666666,1.0,0.9833333333333333,0.0,0.0,0.0,1.0,True,ASL
44024.npz,60,0.0,0.75,0.0,1.0,1.0,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.3666666666666667,False,ASL
44045.npz,60,0.0,0.4166666666666667,0.016666666666666666,1.0,0.9833333333333333,0.21666666666666667,0.21666666666666667,0.21666666666666667,0.7833333333333333,False,ASL
44046.npz,60,0.0,0.425,0.016666666666666666,1.0,0.9833333333333333,0.3,0.3,0.3,0.7,False,ASL
44047.npz,60,0.016666666666666666,0.43333333333333335,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
44050.npz,60,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
44051.npz,60,0.06666666666666667,0.08333333333333333,0.06666666666666667,0.9333333333333333,0.9333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.9166666666666666,True,ASL
44058.npz,60,0.0,0.725,0.016666666666666666,1.0,0.9833333333333333,0.7,0.7,0.7,0.30000000000000004,False,ASL
66319.npz,60,0.0,0.6916666666666667,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
44081.npz,60,0.0,0.31666666666666665,0.016666666666666666,1.0,0.9833333333333333,0.2,0.2,0.2,0.8,False,ASL
44082.npz,60,0.016666666666666666,0.26666666666666666,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.2,0.2,0.2,0.8,True,ASL
44083.npz,60,0.016666666666666666,0.4083333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.38333333333333336,0.38333333333333336,0.38333333333333336,0.6166666666666667,False,ASL
44085.npz,60,0.016666666666666666,0.1,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
44086.npz,60,0.016666666666666666,0.075,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
44087.npz,60,0.05,0.06666666666666667,0.06666666666666667,0.95,0.9333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.9333333333333333,True,ASL
44088.npz,60,0.016666666666666666,0.025,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
44091.npz,60,0.0,0.5416666666666666,0.016666666666666666,1.0,0.9833333333333333,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,ASL
66320.npz,60,0.0,0.5416666666666666,0.0,1.0,1.0,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,ASL
44097.npz,60,0.0,0.675,0.0,1.0,1.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.43333333333333335,False,ASL
44098.npz,60,0.016666666666666666,0.43333333333333335,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.4,0.4,0.4,0.6,False,ASL
44100.npz,60,0.016666666666666666,0.5083333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
44101.npz,60,0.016666666666666666,0.041666666666666664,0.8166666666666667,0.9833333333333333,0.18333333333333332,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,True,ASL
44103.npz,60,0.0,0.5833333333333334,0.016666666666666666,1.0,0.9833333333333333,0.5,0.5,0.5,0.5,False,ASL
44126.npz,60,0.0,0.6583333333333333,0.0,1.0,1.0,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.6833333333333333,False,ASL
44127.npz,60,0.0,0.6833333333333333,0.016666666666666666,1.0,0.9833333333333333,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.6333333333333333,False,ASL
44128.npz,60,0.016666666666666666,0.6416666666666667,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
44130.npz,60,0.016666666666666666,0.5083333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
44132.npz,60,0.03333333333333333,0.325,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.9666666666666667,False,ASL
44136.npz,60,0.0,0.525,0.0,1.0,1.0,0.5,0.5,0.5,0.5,False,ASL
44147.npz,60,0.0,0.55,0.016666666666666666,1.0,0.9833333333333333,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,ASL
44148.npz,60,0.0,0.6333333333333333,0.016666666666666666,1.0,0.9833333333333333,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
44149.npz,60,0.016666666666666666,0.6416666666666667,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.2833333333333333,0.2833333333333333,0.2833333333333333,0.7166666666666667,False,ASL
44151.npz,60,0.0,0.5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
44153.npz,60,0.0,0.8,0.0,1.0,1.0,0.6,0.6,0.6,0.4,False,ASL
44141.npz,60,0.016666666666666666,0.5083333333333333,0.016666666666666666,0.9833333333333333,0.9833333333333333,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.7333333333333334,False,ASL
44143.npz,60,0.0,0.325,0.0,1.0,1.0,0.0,0.0,0.0,1.0,False,ASL
44146.npz,60,0.0,0.575,0.0,1.0,1.0,0.43333333333333335,0.43333333333333335,0.43333333333333335,0.5666666666666667,False,ASL
44167.npz,60,0.0,0.38333333333333336,0.016666666666666666,1.0,0.9833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
44168.npz,60,0.0,0.6666666666666666,0.016666666666666666,1.0,0.9833333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666667,False,ASL
44172.npz,60,0.016666666666666666,0.5083333333333333,0.03333333333333333,0.9833333333333333,0.9666666666666667,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.9833333333333333,False,ASL
44175.npz,60,0.03333333333333333,0.5916666666666667,0.03333333333333333,0.9666666666666667,0.9666666666666667,0.5166666666666667,0.5166666666666667,0.5166666666666667,0.4833333333333333,False,ASL
66321.npz,60,0.0,0.7333333333333333,0.0,1.0,1.0,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.5333333333333333,False,ASL
44176.npz,60,0.0,0.5333333333333333,0.016666666666666666,1.0,0.9833333333333333,0.5,0.5,0.5,0.5,False,ASL
